"","Date","Date_Exposed","DAE","Pool","Pool_Endo","Group","Endophyte","Distance","Plant","Leaf","Dam","Rhiz","Coll","Pucc","Sept"
"495","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,430,5,"ND",0,0,0,0
"496","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,430,6,"ND",0,0,0,0
"497","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,430,7,"ND",0,0,0,0
"498","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,500,1,"D",1,0,0,0
"499","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,500,2,"D",1,0,0,0
"500","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,500,3,"ND",0,0,0,0
"501","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,500,4,"ND",0,0,0,0
"502","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,500,5,"ND",0,0,0,0
"503","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,500,6,"ND",0,0,0,0
"504","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,500,7,"ND",0,0,0,0
"505","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,330,1,"D",1,0,0,0
"506","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,330,2,"ND",0,0,0,0
"507","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,330,3,"ND",0,0,0,0
"508","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,330,4,"ND",0,0,0,0
"509","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,330,5,"ND",0,0,0,0
"510","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,330,6,"ND",0,0,0,0
"511","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,330,7,"ND",0,0,0,0
"512","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,473,1,"ND",0,0,0,0
"513","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,473,2,"ND",0,0,0,0
"514","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,473,3,"ND",0,0,0,0
"515","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,473,4,"ND",0,0,0,0
"516","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,473,5,"ND",0,0,0,0
